Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords,Translated Meta Title,Translated Meta Description,Translated Additional Meta Title,Translated Additional Meta Description
MAGAZZINI BERTON S.R.L.,IT,Italie,BOLZANO VICENTINO,VIA ZUCCOLA 24/C,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail distribution of clothing, footwear and accessories",Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,"Engaged in the retail distribution of clothing, footwear and accessories [source: Bureau van Dijk]",www.bertonmagazzini.it,1,0,0,16,13,15,YES,NO,NO,,Berton Magazzini | Abbigliamento Uomo Donna e Bambino Berton Magazzini,"Berton Magazzini, le Migliori Offerte sui Top Brand abbigliamento Uomo, Donna e Bambino:  Liu-Jo, Colmar, Peuterey, Blauer, Canadiens, Aeronautica Militare, Diesel, Gas Jeans, Cape Horn e molti altri.",Shop online,,,,Berton Magazzini | Clothing men and children Berton warehouses,"Berton Magazzini, the best offers on the top brands men's clothing, women and child: Liu-Jo, Colmar, Peuterey, Blauer, Canadiens, Air Force, Diesel, Gas Jeans, Cape Horn and many others.",,
"GOFAS, G., & CO P.C. ""GOFAS JEWELRY""",GR,Grèce,ATHENS,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of jewelry stores,Retail,,"Imports and trade of jewellery, watches, garments, shoes, accessories and costume jewellery",www.gofas.gr,1,0,1,16,8,16,YES,NO,NO,,Gofas Jewelry | Shop - Eshop,Eshop,,,,,Gofas Jewelry | Shop - Eshop,Eshop,,
TWA RETAIL SP. Z O.O. SP.K.,PL,Pologne,KRAKOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,,Engaged in the retail trade of clothing apparels [source: Bureau van Dijk],www.reporteryoung.pl,1,0,1,16,13,15,YES,NO,NO,,Moda młodzieżowa dla dziewcząt i chłopców | Reporter,"Projekty te są dla młodych osób, które szukają sposobu na pokazanie swojej unikalności. Reporter to więcej niż moda – to przestrzeń dla młodzieży, aby mogła śmiało eksperymentować z własnym wizerunkiem.",,,,,Youth fashion for girls and boys Reporter,These projects are for young people who are looking for a way to show their uniqueness. A reporter is more than fashion - it's a space for young people so that they can confidently experiment with their own image.,,
"NIVEL PRECIOSO, LDA",PT,Portugal,VIZELA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of a wide range of merchandise,Retail,"Comércio a retalho de artigos de ourivesaria. Comércio por grosso, importação, exportação, representação comercial e transformação de metais ferrosos e não ferrosos e outros produtos similares ou afins.",Engaged in the retail trade of a wide range of merchandise [source: Bureau van Dijk],,0,0,0,16,20,12,YES,NO,NO,,,,,,,,,,,
BELYETAZH,RU,Fédération de Russie,PERM,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,0,0,0,16,13,13,YES,YES,,,,,,,,,,,,
LIMITED LIABILITY COMPANY U4 GROUP,RU,Fédération de Russie,KRASNODAR,"UL. STAVROPOLSKAYA D. 133, POMESHCH. 2",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in wholesaling of miscellaneous non-durable goods,Wholesale,???????? ?????? ? ?????.,Engaged in wholesaling of miscellaneous non-durable goods [source: Bureau van Dijk],www.u4group.ru,1,0,0,16,8,10,YES,NO,NO,"u4group.ru
yufogroup.ru",,,,,,,,,,
MEGAFORT OU,EE,Estonie,TALLINN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of watches and jewelry,Retail,,Retail sale of watches and jewellery in specialised stores,www.goldtime.ee,3,2,0,16,13,13,YES,NO,NO,,,,,,,,,,,
HUGO BOSS INTERNATIONAL MARKETS AG S.A. ODDZIAL W POLSCE,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of luxury fashion items,Retail,,Engaged in the retail of luxury fashion items [source: Bureau van Dijk],www.hugoboss.pl,0,-3,-1,16,11,14,YES,YES,,www.hugoboss.asia,,,,404 - Page Not Found,,,,,404 - Page Not Found,
ADRENALINE.PL SP. Z O.O. SP.K.,PL,Pologne,OLSZTYN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of sportswear,Retail,,Engaged in the retail of sportswear [source: Bureau van Dijk],adrenaline.pl,2,1,2,16,13,18,YES,NO,NO,,"Sklep sportowy Nike, adidas | Adrenaline.pl","✅Odzież sportowa w sklepie internetowym adrenaline.pl: ubrania i buty sportowe ✅Darmowa dostawa w 24H ✅30 dni na zwrot ✅Super ceny ✅Sieć salonów Nike, adidas ✅Buty, odzież, akcesoria",,,,,"Nike sports shop, Adidas Adrenaline.pl","✅ Sports in the online store adrenaline.pl: Sports clothes and shoes ✅ Darget delivery in 24h ✅30 days for a refund ✅Super prices ✅SIeć Nike showrooms, adidas ✅buty, clothing, accessories",,
LLC FF STYLE,RU,Fédération de Russie,MOSCOW,"PR-KT PROLETARSKII D. 19, K. 1, PODV. POM.I, KOM 37V",4771,Commerce de détail d'habillement en magasin spécialisé,,,???????? ???????.,Trade in clothes.,www.finn-flare.ru,-8,-2,1,16,16,24,YES,YES,,,Just a moment...,,,,,,Just a moment...,,,
SA TURRI ET FILS,FR,France,PARAY LE MONIAL,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation and management of a shoe store,Retail,"Vente de chaussures maroquinerie, articles de sport.",Engaged in the operation and management of a shoe store [source: Bureau van Dijk],www.chaussures.turri.fr,0,0,0,16,13,17,YES,NO,NO,,,,,,,,,,,
CENERE GB SRL,IT,Italie,BASSANO DEL GRAPPA,VIA JACOPO DA PONTE 18/20,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,www.ceneregb.com,0,1,0,16,12,12,YES,NO,NO,,Luxury Fashion Store | Cenere GB,"L’azienda celebra 60 ANNI di attività vantando numerosi progetti, continuando con passione a dirigere tre stores, due sedi operative e piu’ di 30 collaboratori.",,,,,Luxury Fashion Store | Cenere GB,"The company celebrates 60 years of activity by boasting numerous projects, continuing with passion to direct three stores, two operating offices and more than 30 collaborators.",,
NEW YORKER ESTONIA OU,EE,Estonie,TALLINN,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing store,Retail,,Retail sale of clothing in specialised stores,www.newyorker.de,4,2,2,15,14,16,YES,NO,NO,www.kristiine.com/stores/-/shops/Mood/1004402/New-Yorker,NEW YORKER | Dress for the moment,"Entdecke die neuesten Modetrends fÃ¼r Damen und Herren bei NEW YORKER. Kleidung von AMISU, CENSORED, FISHBONE, SMOG und BLACK SQUAD.","Amisu, Smog, Fishbone, Censored, Accessoires, Denim, Streetwear, Sportwear, Underwear, Trends, Outfits, Kollektionen",,,,NEW YORKER | Dress for the moment,"Discover the latest fashion trends for women and men at New Yorker. Clothing by Amisu, Censored, Fishbone, Smog and Black Squad.",,
STELLA SITI RITEIL,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of fashion clothing and accessories for women,Retail,"??????? ??????????? ??????, ????? ? ??????????? (Marella, Iblues)",Engaged in the retail sale of fashion clothing and accessories for women [source: Bureau van Dijk],world.marella.com,2,0,2,15,10,18,YES,NO,NO,,,,,,,,,,,
HYLTON,FR,France,AIX EN PROVENCE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in offering shoes of all styles for men and women,Retail,Vente de chaussures de luxe et de grandes marques et d'articles de maroquinerie.,Engaged in offering shoes of all styles for men and women [source: Bureau van Dijk],www.hylton.fr,1,1,1,15,12,11,YES,NO,NO,,"Vente en ligne de chaussures pour femme et homme, des marques exclusives et des nouveautés","Site officiel et boutique en ligne Hylton, spécialiste de la chaussure, ville et basket. La solution pour acheter des chaussures de tous styles, hommes et femmes, au meilleur prix.","hylton,chaussure,sneakers,bottes,boots,chaussures,baskets,adidas,stan smith,puma,ugg,timberland",,,,"Online sale of women and men's shoes, exclusive brands and new features","Official site and Hylton online store, specialist in shoe, city and basketball. The solution to buy shoes from all styles, men and women, at the best price.",,
MYSHOE N. I. MINOGLOU S.A.,GR,Grèce,OINOFYTA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale of clothing and footwear products,Wholesale,,"Exclusive imports, imports and trade of shoes, slippers, garments, travelling goods, white linen, tableware, decoratives and small furniture (also via internet: www.myshoe.gr, www.laredoute.gr and www.samsonite.gr)",www.myshoe.gr,0,0,0,15,11,12,YES,NO,NO,,Just a moment...,,,,,,Just a moment...,,,
ROBERT GATWARD JEWELLERS LIMITED,GB,Royaume-Uni,HUNGERFORD,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the wholesale and retail of jewelry and related services,Wholesale; Retail; Services,,Jewellery retailers.,www.robertgatwardjewellers.co.uk,3,2,2,15,11,14,YES,NO,NO,,"Robert Gatward Jewellers | Luxury Watches, Bespoke Diamond Jewellery","Family-owned independent jewellers specialising in luxury jewellery, watches, bespoke engagement rings and wedding rings. Free delivery & interest free finance. Official Rolex Retailers.",,,,,"Robert Gatward Jewellers | Luxury Watches, Bespoke Diamond Jewellery","Family-owned independent jewellers specialising in luxury jewellery, watches, bespoke engagement rings and wedding rings. Free delivery & interest free finance. Official Rolex Retailers.",,
GLOBAL BRANDS DISTRIBUTION OOD,BG,Bulgarie,SOFIA,"KV. ZHILISHTNA GRUPA YUZHEN PARK, UL. KOZYAK 12, BL. 122, VH. A, ET. 1, AP. 1",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of branded apparel and footwear in specialised stores,Retail,,Engaged in the retail sale of branded apparel and footwear in specialised stores [source: Bureau van Dijk],www.globalbrands.bg,1,1,1,15,12,13,YES,NO,NO,,Начало | Global Brands Distribution,,,,,,Home | Global Brands Distribution,,,
MANZONI SRL,IT,Italie,BELLUNO,VIA ROMA 19,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear products,Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,Engaged in the retail sale of footwear products [source: Bureau van Dijk],www.manzonisrl.it,1,1,1,15,15,18,YES,NO,NO,www.manzonitende.it,"Manzoni abbigliamento, Belluno è in manutenzione",,,Manzoni Tende | Tende e soluzioni per esterno - Lecco,"Manzoni è l'azienda specializzata in tende e soluzioni per esterno per Lecco e dintorni, punto di riferimento per qualità, design e modularità.",,"Manzoni Clothing, Belluno is under maintenance",,Manzoni Curtains | Curtains and Outdoor Solutions - Lecco,"Manzoni is the company specialized in curtains and outdoor solutions for Lecco and surroundings, a point of reference for quality, design and modularity."
SICAR,FR,France,NICE,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing principally in France,Retail,"Boutique Hermès (ensemblier décorateur, vente d'objets d'arts, cadeaux, liste de mariage, prêt à porter)",Engaged in the retail sale of clothing principally in France [source: Bureau van Dijk],www.hermes.com,4,1,3,15,10,14,YES,NO,NO,,403 Forbidden,,,,,,403 Forbidden,,,
S. D. KELLS LIMITED,GB,Royaume-Uni,ENNISKILLEN,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of apparel, accessories and other textile products",Retail,,"Ladies, gents and childrens outfitters, together with the sale of household goods.",www.sdkells.co.uk,2,1,1,15,11,15,YES,NO,NO,,SDKells,,,,,,SDKells,,,
MATTIOLI & STEFANI S.R.L.,IT,Italie,MODENA,VIA SARAGOZZA 130,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.watchesforpassion.com/about-us,2,1,1,15,9,8,YES,NO,NO,,,,,,,,,,,
RETAIL SHOES LLC,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail trade of footwear and other related products,Retail,??????? ?????,Engaged in the retail trade of footwear and other related products [source: Bureau van Dijk],respect-shoes.ru,2,1,1,15,11,15,YES,NO,NO,,Брендовая женская и мужская обувь: продажа модной обуви в интернет-магазине Respect,"Продажа женской и мужской обуви в интернет-магазине Respect! Большой выбор обуви по стилю, цвету и сезону. Бесплатная доставка. Звоните, ☎ 8 (800) 555-52-92.",,,,,Brand women's and men's shoes: selling fashionable shoes in the Respect online store,"Sale of women's and men's shoes in the Respect online store! A large selection of shoes in style, color and season. Free delivery. Call, ☎ 8 (800) 555-52-92.",,
PAPINI S.R.L.,IT,Italie,CATANIA,CORSO ITALIA 171,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as the exclusive fashion store of luxury brands with a wide selection of haute-couture clothings of international designers,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Operates as the exclusive fashion store of luxury brands with a wide selection of haute-couture clothings of international designers [source: Bureau van Dijk],www.papinistore.com,0,0,0,15,14,15,YES,NO,NO,,Luxury Fashion Boutique | Luxury Online Shopping - Luxury Brand Fashion Store: Clothing and Accessories • Shoulder Bags for Women | Shop Online,Discover our Luxury Brand Fashion Store: More than 90 Luxury Clothing and Accessories Brands | 100% Safe Purchase • Fast Delivery,,,,,Luxury Fashion Boutique | Luxury Online Shopping - Luxury Brand Fashion Store: Clothing and Accessories • Shoulder Bags for Women | Shop Online,Discover our Luxury Brand Fashion Store: More than 90 Luxury Clothing and Accessories Brands | 100% Safe Purchase • Fast Delivery,,
DAVID-ANDERSEN AS,NO,Norvège,OSLO,POSTBOKS 773  SENTRUM,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale and marketing of gold and silver wares and related fashion accessories as well as in redesigning fashionable items,Retail,"BUTIKKHANDEL MED GULL- OG SØLVVARER, SAMT INVESTERING I ANDRE SELSKAPER.",Engaged in the retail sale and marketing of gold and silver wares and related fashion accessories as well as in redesigning fashionable items [source: Bureau van Dijk],www.david-andersen.no,1,1,0,15,13,12,YES,NO,NO,,David-Andersen | Din gullsmed - Se vÃ¥rt utvalg og bestill idag,"Se vÃ¥rt store utvalg av egenproduserte smykkekolleksjoner og en rekke kjente merkevarer. Velkommen til gode og inspirerende opplevelser, vÃ¥re eksperte","gullsmed, david-andersen, david andersen, giftering, ringer, smykker, forlovelsesring, armbÃ¥nd, klokker",,,,David-Andersen | Your goldsmith - see our selection and order today,"See our wide selection of self -produced jewelry collections and a number of well -known brands. Welcome to good and inspiring experiences, our experts",,
COLELLA GROUP S.R.L.,IT,Italie,NAPOLI,VIA VINCENZO RUIZ ARANGIO 42,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the retail sale of clothing in specialised stores [source: Bureau van Dijk],lnx.spadaroma.com,1,1,1,15,12,19,YES,NO,NO,www.spadaroma.com,,,,Spada Roma - Abbigliamento e Accessori Uomo,Spada Roma fonde la tradizione dell’arte sartoriale italiana con le ultime tendenze della moda maschile contemporanea.,,,,Rome Spada - Men's Clothing and Accessories,Spada Roma merges the tradition of Italian tailoring art with the latest contemporary men's fashion trends.
ROBERTO JOYERO VIGO SL,ES,Espagne,VIGO,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Primarily engaged in the wholesale and retail sale of jewelry, watches, precious stones, and precious metals",Wholesale; Retail,Fabricación y comercialización de artículos de relojería y joyería.,"Primarily engaged in the wholesale and retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.robertojoyero.com,5,3,3,15,9,11,YES,NO,NO,,Alta Joyería y Relojería en Vigo - Roberto Joyero,En Roberto Joyero ofrecemos a nuestros clientes uno de los más amplios catálogos de productos de alta joyería y relojería de Vigo. No dudes en contactarnos.,,,,,High jewelry and watchmaking in Vigo - Roberto Jeweler,In Roberto Jeweler we offer our customers one of the widest catalogs of high jewelry and watchmaking products in Vigo. Do not hesitate to contact us.,,
GARIBALDINA S.R.L.,IT,Italie,RHO,CORSO GIUSEPPE GARIBALDI 23,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail trade of footwear and other related leather products,Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,Engaged in the retail trade of footwear and other related leather products [source: Bureau van Dijk],www.garibaldinacalzature.it,2,0,1,14,11,14,YES,NO,NO,,Garibaldina Calzature ▷ Il tuo Negozio di Scarpe Online,Shop Online di Scarpe | Uomo | Donna | Bambino | Eleganti | Sportive | Confortevoli | alla Moda. Spedizione Gratis* > Visita lo shop.,,,,,Garibaldina footwear ▷ Your online shoe store,Online shoe shop | Man | Woman | Child | Elegant | Sports | Comfortable | trendy. Free Shipping*> Visit the shop.,,
MGCGROUP MEGACALZADO IBERICA SL,ES,Espagne,ORKOIEN,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear and related products,Retail,"Comercio al por menor de calzado de niño, señora, caballero y deportivo.",Engaged in the retail distribution of footwear and related products [source: Bureau van Dijk],www.megacalzado.com,1,1,0,14,13,16,YES,NO,NO,,Zapatería Online | Calzado de moda a buen precio - Megacalzado,"Tu zapatería online donde encontrarás, zapatos, botines, sandalias, deportivas. Compra zapatos para mujer online, para hombre, niño y niña.","tienda online, venta zapatos online, compra online, megacalzado, zapatos megacalzado, zapatos mujer moda, zapatos mujer online, marcas zapatos mujer, zapatos mujer baratos",,,,Online shoe store | Fashion Footwear at a good price - Megacalzado,"Your online shoe store where you will find, shoes, ankle boots, sandals, sports. Buy Women's online shoes, for men, boy and girl.",,
CUMINI TRE S.R.L.,IT,Italie,GEMONA DEL FRIULI,VIA SAN DANIELE 3,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the sale of clothing and accessories,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the sale of clothing and accessories [source: Bureau van Dijk],www.cumini.it,0,1,0,14,13,15,YES,NO,NO,www.cumini.com,,,,Moda di lusso Uomo Donna dei migliori Brand  - Cumini,"Scopri la nostra selezione di moda di lusso uomo, donna dei migliori brand come Prada, Balenciaga , Saint Laurent e molto altro!",Cumini,,,Luxury Men's Luxury Fashion of the Best Brands - Cumini,"Discover our men's luxury fashion selection, woman of the best brands such as Prada, Balenciaga, Saint Laurent and much more!"
PRENATAL SINGLE MEMBER S.A.,GR,Grèce,PIRAEUS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of maternity and baby clothes and nursery equipment,Wholesale,,"Exclusive imports and trade of children's wear, white linen, cosmetics and furniture, baby goods, maternity garments and toys (also via internet). Franchising",www.prenatal.gr,-2,-3,-1,14,10,13,YES,YES,,,Prénatal Store Online | Prénatal Store Online,,,,,,Prenatal Store Online | Prenatal Store Online,,,
ELEGANTKA,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,"???????? ???????, ?????? ? ????????????","Sale of clothes, footware and accessories",www.fursk.ru,-1,0,-1,14,12,21,YES,YES,,,,,,,,,,,,
SUIT S.R.L.,IT,Italie,LECCE,VIA 140 REGGIMENTO FANTERIA 12,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.suitnegozi.com,2,1,1,14,12,9,YES,NO,NO,,Suit Negozi | Il meglio della Moda di Lusso online,Scopri l'eleganza e la qualità della moda di lusso su Suit Negozi. Collezioni esclusive per chi ama distinguersi con stile. Spedizioni in 24/48h!,,,,,SUIT shops | The best of online luxury fashion,Discover the elegance and quality of luxury fashion on Suit Shops. Exclusive collections for those who love to stand out with style. Shipments in 24/48h!,,
M&A EXPORT S.R.L.,IT,Italie,MAZZE,VIA ITALIA 21,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,maexport.app,2,1,1,14,7,7,YES,NO,NO,,,,,,,,,,,
MANTOVANI S.R.L.,IT,Italie,CARATE BRIANZA,CORSO DELLA LIBERTA' 15,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of a range of clothing products and accessories,Wholesale,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the wholesale distribution of a range of clothing products and accessories [source: Bureau van Dijk],mantovanistore.com/it_it,0,-1,1,14,12,14,YES,YES,,"www.mantovanistore.com
www.distilleriemantovani.it",Mantovani Boutique Store,An accurate selection of best luxury brands: discover it in our boutique in Carate Brianza near Monza and online.,,,,,Mantovani Boutique Store,An accurate selection of best luxury brands: discover it in our boutique in Carate Brianza near Monza and online.,,
BIG BRAND SOLE SHAREHOLDER CO. LTD,GR,Grèce,RETHYMNO,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as an online clothing store that caters to all those who love athletic and casual outfits,Retail,,"Trade of sportswear, sports shoes and sports goods (also sales via internet)",www.heavenofbrands.com,1,0,-1,14,12,12,YES,NO,NO,,Winter Sale  | HeavenOfBrands.com ...all about sports,Ανακάλυψε την μεγαλύτερη συλλογή αθλητικών ειδών από τα κορυφαία brands της αγοράς.,"Heavenofbrands, heavenofbrands, αθλητικό κατάστημα, eshop, e-shop, παπούτσια, αθλητικά παπούτσια",,,,Winter Sale  | HeavenOfBrands.com ...all about sports,Discover the largest collection of sportswear from the top brands on the market.,,
BRENTA,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the marketing and sale of furniture and home furnishings,Wholesale; Retail,,Engaged in the marketing and sale of furniture and home furnishings [source: Bureau van Dijk],,1,0,1,14,8,11,YES,NO,NO,,,,,,,,,,,
ADAMAKOS BROS S.A.,GR,Grèce,PERISTERI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale and retail marketing of men's fashion and clothing items,Wholesale; Retail,,"Imports and trade of men's wear, shoes and accessories (also via internet). Real Estate lessors",www.adamakos.gr,3,1,1,14,9,15,YES,NO,NO,,,,,,,,,,,
GLEN,RU,Fédération de Russie,MOSCOW,"UL. KASATKINA D. 3, ET 4 POM4",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing store,Retail,"????????? ???????? ??????? (????? Glenfield, Flo&Jo, Braccialini)","Retail sale of clothing (brands Glenfield, Flo&Jo, Braccialini)",www.flo-jo.ru,1,1,0,14,10,21,YES,NO,NO,glenfield.ru,Error,,,Glenfield – итальянская марка трикотажа – официальный интернет-магазин одежды,"Купить одежду из итальянского трикотажа Glenfield в официальном интернет-магазине. Посмотреть полный каталог Glenfield с ценами и описаниями. Весь товар в наличии, доставка, онлайн-заказ.","glenfield, магазин трикотажа",Error,,GLENFILD-Italian brand of knitwear-official online clothing store,"Buy clothing from the Italian knitwear Glenfield in an official online store. View the full Glenfield catalog with prices and descriptions. All goods are available, delivery, online order."
PROGETTO MODA S.R.L.,IT,Italie,ALTAMURA,PIAZZA ZANARDELLI N. 11,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing and accessories,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail distribution of clothing and accessories [source: Bureau van Dijk],www.anteprimaextra.com,1,1,0,14,11,11,YES,NO,NO,www.progettomoda.it,ANTEPRIMA EXTRA,,,"Progetto Moda: abbigliamento promozionale, gadget e accessori. Dal 1991","Dal 1991 siamo la risposta migliore ad ogni esigenza promozionale. Siamo il partner ideale per vestire il tuo marchio: vestiamo persone, oggetti, spazi",,Extra preview,,"Fashion project: promotional clothing, gadgets and accessories. Since 1991","Since 1991 we have been the best answer to every promotional need. We are the ideal partner to dress your brand: we dress people, objects, spaces"
"UNIFATO - CONFECCOES DO CENTRO, LDA",PT,Portugal,REGUENGO DO FETAL,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,"Comercialização de artigos de vestuário/ Produção de eletricidade de origem eólica, geotérmica, solar e de origem, n.e.",Engaged in the retail sale of clothing [source: Bureau van Dijk],www.unifato.pt,1,0,1,13,16,28,YES,NO,NO,,Unifato,"Com capital 100% Português, o Grupo Unifato é detentor de várias empresas de dí­spares sectores de atividade, sendo o seu core business inequivocamente o retalho de vestuário.","Grupo Unifato, Mango, Nike, Salsa, Giovanni Galli, UpStyle, Ponto Negro, Unifato The Fashion Outlet, Upstyle Outlet Strada, confeção têxtil, lojas multimarca, Leiria, Reguengo do Fétal, Lisboa, Roupa, Santarém, Oeiras, Strada, Outlet, Caldas da Rainha, Entroncamento, Viseu, Figueira da Foz, Foz Plaza, Shopping, Alfragide, Abrantes, Rio Maior, Alcobaça, Fátima, Recrutamento, Ofertas de emprego, Marca, Guess, Fracomina, Pepe Jeans, Fred Perry, Gant, Trussardi, Hugo Boss, Desigual, Love Moschino, Only, Antony Morato, Molly Bracken, Aston Martin, Calvin Klein, le Coq Sportif, Ralph Lauren, Rockport, Timberland, Tommy Hilfiger, Bugatti, Eskey, Esprit, Armani Exchange",,,,Uniform,"With 100% Portuguese capital, the Unifato Group holds several companies of activity sectors of activity, being their Core Business unequivocally the retail of clothing.",,
MARC TENSEN,BE,Belgique,ANTWERPEN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of jewelry and watch stores,Retail,,Engaged in the operation of jewelry and watch stores [source: Bureau van Dijk],www.tensen.be,2,0,0,13,9,11,YES,NO,NO,,TenSen Juweliers | Home - Welkom bij TenSen Juweliers,"TenSen Juweliers is uw partner voor luxueuse horloges en accessoires. Wij verdelen Rolex, Patek Philippe en meer.",,,,,Tensen Jewelers | Home - Welcome to Tensen Juweliers,"Tensen Jewelers is your partner for luxurious watches and accessories. We distribute Rolex, Patek Philippe and more.",,
CAMPARINI S.R.L.,IT,Italie,REGGIO NELL'EMILIA,VIA EMILIA SAN PIETRO 29/C,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the wholesale of jewelry, watches, precious stones, and precious metals",Wholesale,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,"Engaged in the wholesale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.camparinigioielli.com,2,1,1,13,11,12,YES,NO,NO,,CAMPARINI | Gioielleria e vendita Rolex a Reggio Emilia e Parma,Da Camparini puoi acquistare gioielli e orologi di lusso giovando di un'assistenza completa ed un esperienza d'acquisto di pregio. Ci troviamo a Reggio Emilia e Parma.,,,,,Camparini | Rolex jewelry and sale in Reggio Emilia and Parma,From Camparini you can buy luxury jewels and watches by benefiting from complete assistance and a valuable shopping experience. We are in Reggio Emilia and Parma.,,
