,Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in Original language,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
115,MEGAFORT OU,EE,Estonie,TALLINN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of watches and jewelry,Retail,,Retail sale of watches and jewellery in specialised stores,www.goldtime.ee,3,2,0,16,13,13,YES,NO,NO
116,HUGO BOSS INTERNATIONAL MARKETS AG S.A. ODDZIAL W POLSCE,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of luxury fashion items,Retail,,Engaged in the retail of luxury fashion items [source: Bureau van Dijk],"www.hugoboss.pl
www.hugoboss.asia",0,-3,-1,16,11,14,YES,YES,
117,ADRENALINE.PL SP. Z O.O. SP.K.,PL,Pologne,OLSZTYN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of sportswear,Retail,,Engaged in the retail of sportswear [source: Bureau van Dijk],adrenaline.pl,2,1,2,16,13,18,YES,NO,NO
118,LLC FF STYLE,RU,Fédération de Russie,MOSCOW,"PR-KT PROLETARSKII D. 19, K. 1, PODV. POM.I, KOM 37V",4771,Commerce de détail d'habillement en magasin spécialisé,,,???????? ???????.,Trade in clothes.,www.finn-flare.ru,-8,-2,1,16,16,24,YES,YES,
119,SA TURRI ET FILS,FR,France,PARAY LE MONIAL,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation and management of a shoe store,Retail,"Vente de chaussures maroquinerie, articles de sport.",Engaged in the operation and management of a shoe store [source: Bureau van Dijk],www.chaussures.turri.fr,0,0,0,16,13,17,YES,NO,NO
120,CENERE GB SRL,IT,Italie,BASSANO DEL GRAPPA,VIA JACOPO DA PONTE 18/20,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,www.ceneregb.com,0,1,0,16,12,12,YES,NO,NO
121,NEW YORKER ESTONIA OU,EE,Estonie,TALLINN,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing store,Retail,,Retail sale of clothing in specialised stores,"www.newyorker.de
www.kristiine.com/stores/-/shops/Mood/1004402/New-Yorker",4,2,2,15,14,16,YES,NO,NO
122,STELLA SITI RITEIL,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of fashion clothing and accessories for women,Retail,"??????? ??????????? ??????, ????? ? ??????????? (Marella, Iblues)",Engaged in the retail sale of fashion clothing and accessories for women [source: Bureau van Dijk],world.marella.com,2,0,2,15,10,18,YES,NO,NO
123,HYLTON,FR,France,AIX EN PROVENCE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in offering shoes of all styles for men and women,Retail,Vente de chaussures de luxe et de grandes marques et d'articles de maroquinerie.,Engaged in offering shoes of all styles for men and women [source: Bureau van Dijk],www.hylton.fr,1,1,1,15,12,11,YES,NO,NO
124,MYSHOE N. I. MINOGLOU S.A.,GR,Grèce,OINOFYTA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale of clothing and footwear products,Wholesale,,"Exclusive imports, imports and trade of shoes, slippers, garments, travelling goods, white linen, tableware, decoratives and small furniture (also via internet: www.myshoe.gr, www.laredoute.gr and www.samsonite.gr)",www.myshoe.gr,0,0,0,15,11,12,YES,NO,NO
125,ROBERT GATWARD JEWELLERS LIMITED,GB,Royaume-Uni,HUNGERFORD,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the wholesale and retail of jewelry and related services,Wholesale; Retail; Services,,Jewellery retailers.,www.robertgatwardjewellers.co.uk,3,2,2,15,11,14,YES,NO,NO
126,GLOBAL BRANDS DISTRIBUTION OOD,BG,Bulgarie,SOFIA,"KV. ZHILISHTNA GRUPA YUZHEN PARK, UL. KOZYAK 12, BL. 122, VH. A, ET. 1, AP. 1",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of branded apparel and footwear in specialised stores,Retail,,Engaged in the retail sale of branded apparel and footwear in specialised stores [source: Bureau van Dijk],www.globalbrands.bg,1,1,1,15,12,13,YES,NO,NO
127,MANZONI SRL,IT,Italie,BELLUNO,VIA ROMA 19,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear products,Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,Engaged in the retail sale of footwear products [source: Bureau van Dijk],"www.manzonisrl.it
www.manzonitende.it",1,1,1,15,15,18,YES,NO,NO
128,SICAR,FR,France,NICE,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing principally in France,Retail,"Boutique Hermès (ensemblier décorateur, vente d'objets d'arts, cadeaux, liste de mariage, prêt à porter)",Engaged in the retail sale of clothing principally in France [source: Bureau van Dijk],www.hermes.com,4,1,3,15,10,14,YES,NO,NO
129,S. D. KELLS LIMITED,GB,Royaume-Uni,ENNISKILLEN,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of apparel, accessories and other textile products",Retail,,"Ladies, gents and childrens outfitters, together with the sale of household goods.",www.sdkells.co.uk,2,1,1,15,11,15,YES,NO,NO
130,MATTIOLI & STEFANI S.R.L.,IT,Italie,MODENA,VIA SARAGOZZA 130,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.watchesforpassion.com/about-us,2,1,1,15,9,8,YES,NO,NO
131,RETAIL SHOES LLC,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail trade of footwear and other related products,Retail,??????? ?????,Engaged in the retail trade of footwear and other related products [source: Bureau van Dijk],respect-shoes.ru,2,1,1,15,11,15,YES,NO,NO
132,PAPINI S.R.L.,IT,Italie,CATANIA,CORSO ITALIA 171,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as the exclusive fashion store of luxury brands with a wide selection of haute-couture clothings of international designers,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Operates as the exclusive fashion store of luxury brands with a wide selection of haute-couture clothings of international designers [source: Bureau van Dijk],www.papinistore.com,0,0,0,15,14,15,YES,NO,NO
133,DAVID-ANDERSEN AS,NO,Norvège,OSLO,POSTBOKS 773  SENTRUM,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale and marketing of gold and silver wares and related fashion accessories as well as in redesigning fashionable items,Retail,"BUTIKKHANDEL MED GULL- OG SØLVVARER, SAMT INVESTERING I ANDRE SELSKAPER.",Engaged in the retail sale and marketing of gold and silver wares and related fashion accessories as well as in redesigning fashionable items [source: Bureau van Dijk],www.david-andersen.no,1,1,0,15,13,12,YES,NO,NO
134,COLELLA GROUP S.R.L.,IT,Italie,NAPOLI,VIA VINCENZO RUIZ ARANGIO 42,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the retail sale of clothing in specialised stores [source: Bureau van Dijk],"lnx.spadaroma.com
www.spadaroma.com",1,1,1,15,12,19,YES,NO,NO
135,ROBERTO JOYERO VIGO SL,ES,Espagne,VIGO,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Primarily engaged in the wholesale and retail sale of jewelry, watches, precious stones, and precious metals",Wholesale; Retail,Fabricación y comercialización de artículos de relojería y joyería.,"Primarily engaged in the wholesale and retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.robertojoyero.com,5,3,3,15,9,11,YES,NO,NO
136,GARIBALDINA S.R.L.,IT,Italie,RHO,CORSO GIUSEPPE GARIBALDI 23,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail trade of footwear and other related leather products,Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,Engaged in the retail trade of footwear and other related leather products [source: Bureau van Dijk],www.garibaldinacalzature.it,2,0,1,14,11,14,YES,NO,NO
137,MGCGROUP MEGACALZADO IBERICA SL,ES,Espagne,ORKOIEN,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear and related products,Retail,"Comercio al por menor de calzado de niño, señora, caballero y deportivo.",Engaged in the retail distribution of footwear and related products [source: Bureau van Dijk],www.megacalzado.com,1,1,0,14,13,16,YES,NO,NO
138,CUMINI TRE S.R.L.,IT,Italie,GEMONA DEL FRIULI,VIA SAN DANIELE 3,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the sale of clothing and accessories,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the sale of clothing and accessories [source: Bureau van Dijk],"www.cumini.it
www.cumini.com",0,1,0,14,13,15,YES,NO,NO
139,PRENATAL SINGLE MEMBER S.A.,GR,Grèce,PIRAEUS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of maternity and baby clothes and nursery equipment,Wholesale,,"Exclusive imports and trade of children's wear, white linen, cosmetics and furniture, baby goods, maternity garments and toys (also via internet). Franchising",www.prenatal.gr,-2,-3,-1,14,10,13,YES,YES,
140,ELEGANTKA,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,"???????? ???????, ?????? ? ????????????","Sale of clothes, footware and accessories",www.fursk.ru,-1,0,-1,14,12,21,YES,YES,
141,SUIT S.R.L.,IT,Italie,LECCE,VIA 140 REGGIMENTO FANTERIA 12,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.suitnegozi.com,2,1,1,14,12,9,YES,NO,NO
142,M&A EXPORT S.R.L.,IT,Italie,MAZZE,VIA ITALIA 21,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,maexport.app,2,1,1,14,7,7,YES,NO,NO
143,MANTOVANI S.R.L.,IT,Italie,CARATE BRIANZA,CORSO DELLA LIBERTA' 15,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of a range of clothing products and accessories,Wholesale,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the wholesale distribution of a range of clothing products and accessories [source: Bureau van Dijk],"mantovanistore.com/it_it
www.mantovanistore.com
www.distilleriemantovani.it",0,-1,1,14,12,14,YES,YES,
144,BIG BRAND SOLE SHAREHOLDER CO. LTD,GR,Grèce,RETHYMNO,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as an online clothing store that caters to all those who love athletic and casual outfits,Retail,,"Trade of sportswear, sports shoes and sports goods (also sales via internet)",www.heavenofbrands.com,1,0,-1,14,12,12,YES,NO,NO
145,BRENTA,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the marketing and sale of furniture and home furnishings,Wholesale; Retail,,Engaged in the marketing and sale of furniture and home furnishings [source: Bureau van Dijk],,1,0,1,14,8,11,YES,NO,NO
146,ADAMAKOS BROS S.A.,GR,Grèce,PERISTERI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale and retail marketing of men's fashion and clothing items,Wholesale; Retail,,"Imports and trade of men's wear, shoes and accessories (also via internet). Real Estate lessors",www.adamakos.gr,3,1,1,14,9,15,YES,NO,NO
147,GLEN,RU,Fédération de Russie,MOSCOW,"UL. KASATKINA D. 3, ET 4 POM4",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing store,Retail,"????????? ???????? ??????? (????? Glenfield, Flo&Jo, Braccialini)","Retail sale of clothing (brands Glenfield, Flo&Jo, Braccialini)","www.flo-jo.ru
glenfield.ru",1,1,0,14,10,21,YES,NO,NO
148,PROGETTO MODA S.R.L.,IT,Italie,ALTAMURA,PIAZZA ZANARDELLI N. 11,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing and accessories,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail distribution of clothing and accessories [source: Bureau van Dijk],"www.anteprimaextra.com
www.progettomoda.it",1,1,0,14,11,11,YES,NO,NO
149,"UNIFATO - CONFECCOES DO CENTRO, LDA",PT,Portugal,REGUENGO DO FETAL,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,"Comercialização de artigos de vestuário/ Produção de eletricidade de origem eólica, geotérmica, solar e de origem, n.e.",Engaged in the retail sale of clothing [source: Bureau van Dijk],www.unifato.pt,1,0,1,13,16,28,YES,NO,NO
150,MARC TENSEN,BE,Belgique,ANTWERPEN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of jewelry and watch stores,Retail,,Engaged in the operation of jewelry and watch stores [source: Bureau van Dijk],www.tensen.be,2,0,0,13,9,11,YES,NO,NO
151,CAMPARINI S.R.L.,IT,Italie,REGGIO NELL'EMILIA,VIA EMILIA SAN PIETRO 29/C,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the wholesale of jewelry, watches, precious stones, and precious metals",Wholesale,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,"Engaged in the wholesale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.camparinigioielli.com,2,1,1,13,11,12,YES,NO,NO
152,NIKOLAOS P. SAKELLARIS S.A.,GR,Grèce,ATHENS,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,,"Representation, imports and trade of anatomic shoes (sales also via internet)",www.sakellaris.gr,4,2,3,13,8,11,YES,NO,NO
153,FILNUM S.P.A.,IT,Italie,PARMA,GALLERIA POLIDORO 2/C,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the professional operator in the gold trade,Wholesale,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the professional operator in the gold trade [source: Bureau van Dijk],www.filnum.it,0,0,0,13,17,16,YES,NO,NO
154,LOSCHI SRL,IT,Italie,TREVISO,VIA MARTIRI DELLA LIBERTA' 10,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing store,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Operates as a clothing store [source: Bureau van Dijk],"loschiboutique.com
www.loschiboutique.com",1,0,0,13,12,12,YES,NO,NO
155,GROUP 88 NUF,NO,Norvège,OSLO,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,GROSSIST DETALJIST LÆRVARER.,,group88.dk,1,0,0,13,11,12,YES,NO,NO
156,YAR,RU,Fédération de Russie,KRASNOYARSK,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,,Engaged in the retail sale of clothing in specialised stores [source: Bureau van Dijk],,2,0,1,13,8,13,YES,NO,NO
157,GLOBUS CONFEZIONI S.P.A.,IT,Italie,BOLZANO,PIAZZA DEL MUNICIPIO 4/A,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing and related accessories,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail trade of clothing and related accessories [source: Bureau van Dijk],"www.globus-mode.it
www.globus-mode.com",0,-1,0,13,9,15,YES,NO,YES
158,LAATUKORU OY,FI,Finlande,HYVINKAA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry products and other valuable goods in Finland,Retail,"Yhtiön toimialana on kello- ja kultasepänalan kauppa ja valmistustoiminta sekä kaikki niihin liittyvä toiminta. Yhtiö voi harjoittaa käytettyjen tavaroiden osto-, myynti- ja välitysliiketoimintaa. Yhtiö voi myös omistaa ja hallita kiinteistöjä sekä vuokrata niissä sijaitsevia huoneistoja ulkopuolisille. Lisäksi yhtiö voi käydä arvopaperikauppaa ja harjoittaa sijoitustoimintaa. Yhtiö voi antaa vakuuksia ja takauksia muiden yhtiöiden ja henkilöiden veloista ja vastuista.","Yhtion toimialana on kello- ja kultasepanalan kauppa ja valmistustoiminta seka kaikki niihin liittyva toiminta. Yhtio voi harjoittaa kaytettyjen tavaroiden osto-, myynti- ja valitysliiketoimintaa. Yhtio voi myos omistaa ja hallita kiinteistoja seka vuokrata niissa sijaitsevia huoneistoja ulkopuolisille. Lisaksi yhtio voi kayda arvopaperikauppaa ja harjoittaa sijoitustoimintaa. Yhtio voi antaa vakuuksia ja takauksia muiden yhtioiden ja henkiloiden veloista ja vastuista.",www.laatukoru.fi,0,0,0,12,10,9,YES,NO,NO
159,"BUDMIL PRODUCTION, TRADE AND SERVICE PRIVATE COMPANY LIMITED BY SHARES",HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale distribution of clothing, footwear, and leather goods for men, women, and children",Wholesale,,"Engaged in the wholesale distribution of clothing, footwear, and leather goods for men, women, and children [source: Bureau van Dijk]","www.budmil.eu
budmil.eu",2,1,1,13,9,10,YES,NO,NO
160,BIKBOK OY,FI,Finlande,HELSINKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and fashion items,Retail,Bolaget ska driva handelsrörelse inom konfektion jämte annan därmed förenlig verksamhet.,Bolaget ska driva handelsrorelse inom konfektion jamte annan darmed forenlig verksamhet.,www.bikbok.com,-1,-3,-3,13,11,14,YES,YES,
161,CROSS POLAND SP. Z O.O.,PL,Pologne,ZAKRET,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale trade of wearing apparel, accessories and other textile products",Wholesale,,"Engaged in the wholesale trade of wearing apparel, accessories and other textile products [source: Bureau van Dijk]",www.crossjeans.pl,1,0,1,13,12,12,YES,NO,NO
162,LLC BRAND OUTLET,RU,Fédération de Russie,MOSCOW,"UL. MOLODOGVARDEISKAYA D. 2, K. 3, KV. 71",4771,Commerce de détail d'habillement en magasin spécialisé,,,"???????? ???????, ??????, ???????? ??? ????.","Trade in clothing, footwear, household goods.",wossoutlet.com,1,0,0,13,8,12,YES,NO,NO
163,FERNER JACOBSEN AKTIESELSKAP,NO,Norvège,OSLO,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,"HANDEL SAMT HVA HERMED STÅR I FORBINDELSE, HERUNDER Å DELTA I ANDRE SELSKAP MED ØKONOMISK FORMÅL.",Engaged in the retail trade of clothing apparels [source: Bureau van Dijk],,1,0,1,12,10,11,YES,NO,NO
164,RECMAN SP. Z O.O.,PL,Pologne,SUWALKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale trade of clothing and footwear products,Wholesale,,Engaged in the wholesale trade of clothing and footwear products [source: Bureau van Dijk],www.recman.pl,1,-1,0,12,10,16,YES,NO,NO
165,JS GROUP,RU,Fédération de Russie,MOSCOW,"PR-KT VOLGOGRADSKII D. 42, K. 23",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in selling pantyhose and underwear,Retail,"?????????, ??????? ????????: ????????, ?????? ?????, ???????-???????? ???????.",Engaged in selling pantyhose and underwear [source: Bureau van Dijk],"js-company.ru
www.js-company.ru",1,1,2,12,12,19,YES,NO,NO
166,SARL MAILLOCHON,FR,France,LIMOGES,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of clothing,Retail,,Engaged in the retail of clothing [source: Bureau van Dijk],www.imajeans.fr,1,0,0,12,9,11,YES,NO,NO
167,MANGO HAUSSMANN,FR,France,PARIS,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale and retail trade of apparel, accessories and other textile products",Wholesale; Retail,"Acquisition et gestion de toutes valeurs mobilières , prise de participations ou d'intérêts sous quelque forme que ce soit dans toutes sociétés et généralement toutes opérations quelconques se rapportant, directement ou indirectement, à l'objet précité. Achat, vente en gros, en demi-gros et au détail de tous articles textiles, vêtements confectionnés et articles chaussants, bonneterie, linge de maison, nouveautés, accessoires d'habillement, maroquinerie. Tous articles d'ameublement et de décoration et tous produits d'entretien.","Engaged in the wholesale and retail trade of apparel, accessories and other textile products [source: Bureau van Dijk]",www.mango.com,1,-2,1,12,9,17,YES,NO,YES
168,"VESNA, A.S.",CZ,République tchèque,CEPERKA,,4751,Commerce de détail de textiles en magasin spécialisé,Engaged in the wholesale of textile products. It is a privately held company based in Czech Republic,Wholesale,,Engaged in the wholesale of textile products. It is a privately held company based in Czech Republic [source: Bureau van Dijk],"www.vesna.cz
www.ivesna.cz",0,0,0,12,11,12,YES,NO,NO
169,SMART RETAIL EOOD,BG,Bulgarie,SOFIA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],"www.orsay-fashion.bg
orsay-fashion.bg",0,1,2,12,11,14,YES,NO,NO
170,RETAIL 2000 S.R.L.,IT,Italie,RHO,VIA ACHILLE GRANDI 2,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],www.matiasfashionoutlet.com,3,3,3,12,12,16,YES,NO,NO
171,ROCALE' SRL,IT,Italie,MILANO,VIA BENEDETTO CROCE 9,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Operates as a shoe store,Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI.,Operates as a shoe store [source: Bureau van Dijk],www.rocalecalzature.it,0,0,0,12,9,12,YES,NO,NO
172,3F AZZARO S.R.L.,IT,Italie,MOLFETTA,VIA ADRIANO OLIVETTI 8/A,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER BAMBINI E NEONATI,,www.fratelliazzaro.it,0,0,0,12,10,8,YES,NO,NO
173,RABINO MARIO & C. S.R.L.,IT,Italie,CUNEO,CORSO NIZZA 10,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,"www.gioielleriarabino.com
www.gioielleriaerredue.com",2,0,0,12,9,9,YES,NO,NO
174,LU.CA S.R.L.,IT,Italie,BRESCIA,CORSO GIUSEPPE ZANARDELLI 15/A,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.pasinigioielli.com,1,1,0,12,6,7,YES,NO,NO
175,MONTI - S.R.L.,IT,Italie,CESENA,VIA FANTAGUZZI 13,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the wholesale trade of apparel, accessories and other textile products",Wholesale,COMMERCIO AL DETTAGLIO DI ARTICOLI DI PELLETTERIA E DA VIAGGIO,"Engaged in the wholesale trade of apparel, accessories and other textile products [source: Bureau van Dijk]","www.montiboutique.com
www.omvvicariemonti.it",1,1,1,12,11,12,YES,NO,NO
176,ITEKS,RU,Fédération de Russie,VLADIVOSTOK,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,0,0,0,12,9,11,YES,YES,
177,MARASMA S.R.L.,IT,Italie,NOVATE MILANESE,VIA ENRICO FERMI 7,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER BAMBINI E NEONATI,,,0,0,0,12,9,11,YES,NO,NO
178,ARGO RETAIL SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,FIRENZE,VIA ALFONSO LAMARMORA 39,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],,0,-1,-2,12,5,11,YES,YES,
179,SOLUX INVEST,BE,Belgique,WAREGEM,,2611,Fabrication de composants électroniques,"Engaged in the development, manufacture and sale of a wide variety of electrical and electronic equipment and components and related products principally in Belgium",Manufacturing; Wholesale,,"Engaged in the development, manufacture and sale of a wide variety of electrical and electronic equipment and components and related products principally in Belgium [source: Bureau van Dijk]",,3,4,4,12,12,11,YES,NO,NO
180,RONCHI - OREFICERIA OROLOGERIA S.R.L.,IT,Italie,MILANO,VIA MAURIZIO GONZAGA 0005,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail distribution of a wide range of watches,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail distribution of a wide range of watches [source: Bureau van Dijk],www.ronchigioielli.com,2,2,2,12,9,13,YES,NO,NO
181,"GEORGOUDAS, ARGYRIOS, - ASTERIOS GEORGOUDAS O.E.",GR,Grèce,THESSALONIKI,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,,"Representations, imports and trade of shoes, handbags and belts (also via internet)",www.nak.gr,1,-1,1,12,9,17,YES,NO,YES
182,"VIEIRA & FRANK - IMPORTACAO E REPRESENTACAO DE CALCADO E CONFECCAO, LDA",PT,Portugal,LISBOA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of clothing products and accessories in Portugal,Retail,"Importação, confeção e comercialização de pronto-a-vestir, calçado, malas, marroquinaria e acessórios.",Engaged in the retail sale of clothing products and accessories in Portugal [source: Bureau van Dijk],"www.stivali.pt
stivali.pt",1,1,1,11,9,12,YES,NO,NO
183,GRIFO MODA S.R.L.,IT,Italie,ISCHIA,VIA FASOLARA 49/16,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,www.grifo210.com/it,0,0,0,11,9,7,YES,NO,NO
184,HEREDEROS DE ANTONIO MOYA BARRIONUEVO SL,ES,Espagne,TORREMOLINOS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the manufacture and distribution of clothing and other related products,Manufacturing,Venta al por menor de prendas y material deportivos,Engaged in the manufacture and distribution of clothing and other related products [source: Bureau van Dijk],www.basesantagema.es,0,0,0,11,9,11,YES,NO,NO
185,ORA - KESSARIS S.A.,GR,Grèce,ATHENS,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in importing and trading of watches and jewelry,Wholesale,,"Representations, exclusive imports and trade of watches and jewellery (also sales via internet)",www.kessaris.gr,1,0,1,11,6,11,YES,NO,NO
